timestamp,timestamp_utc,sequence_number,EMUL_OIL_L_TEMP_PV_VAL0,STAND_OIL_L_TEMP_PV_REAL_VAL0,GEAR_OIL_L_TEMP_PV_REAL_VAL0,EMUL_OIL_L_PR_VAL0,ROD_DIA_MM_VAL0,CAST_NUMBER_MIS_VAL0,STAND_OIL_L_TEMP_SP_VAL0,REELA_ROD_TEMP_VAL0,REELB_ROD_TEMP_VAL0,QUENCH_CW_FLOW_EXIT_VAL0,CAST_WHEEL_RPM_VAL0,EMUL_OIL_L_TEMP_PV_I_VAL0,BAR_TEMP_VAL0,ROD_TEMP_VAL0,QUENCH_CW_FLOW_ENTRY_VAL0,EMULSION_LEVEL_VAL0,GEAR_OIL_L_PR_VAL0,STANDS_OIL_L_PR_VAL0,TUNDISH_TEMP_VAL0,BATH_TEMP_F7_VAL0,BATH_TEMP_F8_VAL0,RM_MOTOR_COOL_WATER__VAL0,FLANGE_CLAMP_A_PRESS_VAL0,FLANGE_CLAMP_B_PRESS_VAL0,ROLL_MILL_AMPS_VAL0,RM_COOL_WATER_FLOW_VAL0,CCW_LEVEL_VAL0,EMULSION_LEVEL_ANALO_VAL0
01:59.4,31:59.4,150793,60.35586548,53.89926147,57.16844177,1.757400513,9.5,858194,55,16.34074211,1,9.206683059,2.029669285,60,586.6187744,-2.5,244.340181,4224.444336,1.953109741,2.02513504,696.173584,728.4881592,656.5024414,1.186439514,2.141235352,0.1754150391,365.1733398,209.3264771,745,1213.542725
10:38.8,40:38.8,150794,60.06871033,54.1313324,57.2170105,1.76250267,9.5,858194,55,16.34137535,1,9.188213554,2.029669285,60,596.2801514,-2.5,243.9195468,4223.350586,1.949245453,2.029371262,702.9924316,728.9605713,598.4567871,1.16289711,2.194549561,1.172363281,353.972168,209.2613525,745,1212.726807
20:38.9,50:38.9,150795,60.39823914,54.18414307,57.45951843,1.752281189,9.5,858194,55,16.34013176,1,9.204298872,2.029064894,60,599.9200439,-2.5,243.1189684,4226.28125,1.940843582,2.015987396,697.1125488,723.0621338,642.5009766,1.157381058,2.136779785,1.282531738,344.284668,209.0717773,745,1214.20459
29:11.8,59:11.8,150796,60.35952759,54.66690063,57.62426758,1.773180008,9.5,858194,55,16.33822823,1,9.154421669,2.022418261,60,599.9029541,-2.5,241.5529069,4228.599609,1.931720734,2.014415741,691.5949707,717.7073975,647.9846191,1.153419495,1.834655762,1.115539551,319.5361328,208.7688599,745,1215.308594
39:11.9,09:11.9,150797,60.44805908,54.95445251,57.69908142,1.771347046,9.5,858194,55,16.33922768,1,9.188817548,2.01436162,60,599.9477539,-2.5,241.492889,4225.341797,1.929428101,2.012123108,688.2946777,716.4044189,673.6169434,1.166463852,2.181945801,0.8363342285,319.309082,208.6933594,745,1213.763672
47:36.5,17:36.5,150798,60.40911865,55.24047852,57.7169342,1.753120422,9.5,858194,55,16.34151649,1,9.170379831,2.029266357,60,599.9475098,-2.5,241.2741795,4225.927734,1.930244446,2.013580322,694.1564941,720.8167725,696.5563965,1.164777756,2.053619385,1.075073242,328.5424805,208.4028931,745,1213.709961
57:36.5,27:36.5,150799,60.49383545,55.40455627,57.98989868,1.779489517,9.5,858194,55,16.34030724,1,9.14183316,2.014160156,60,599.9606934,-2.5,241.7487282,4227.083008,1.936470032,2.009212494,699.4934082,724.1864014,731.9890137,1.159013748,1.801452637,1.375427246,334.21875,208.4646606,745,1214.747559
05:53.1,35:53.1,150800,60.39759827,55.63777161,58.04351807,1.78968811,9.5,858194,55,16.33714485,1,9.105879612,2.023022413,60,599.8859863,-2.5,241.2004286,4228.867188,1.927080154,2.005369186,695.4658203,720.4881592,740.331543,1.129056931,1.922058105,1.166381836,323.5473633,208.3723145,745,1213.786377
15:53.1,45:53.1,150801,60.40950012,55.70578003,58.12376404,1.77825737,9.5,858194,55,16.33743095,1,9.159984774,2.023223877,60,599.9053955,-2.5,241.2411188,4224.398438,1.919906616,2.00393486,688.6948242,715.8270264,743.7167969,1.139299393,2.149658203,1.321105957,369.1088867,207.953064,745,1213.793457
24:02.5,54:02.5,150802,60.48403931,55.80609131,58.2852478,1.770898819,9.5,858194,55,16.33964729,1,9.155057453,2.022015333,60,599.876709,-2.5,241.4135432,4225.65625,1.917575836,2.004404068,695.9406738,719.6644287,744.6396484,1.117961884,1.907348633,0.5294799805,381.7480469,208.164978,745,1211.61084
