,Sl No,Cast Number,Posting Date,Stack No,Grade,Wt(MT),Pcs,%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,1,558097,01.09.2024,,W000,41.056,,0.06,0.24,0.001,0.003,0.001,0.004,0.02,99.671
,2,558101,01.09.2024,,W000,36.447,,0.06,0.22,0.002,0.003,0.001,0.004,0.02,99.69
,3,558105,02.09.2024,,W000,34.567,,0.06,0.2,0.001,0.003,0.001,0.004,0.02,99.711
,4,558109,02.09.2024,,W000,36.465,,0.06,0.17,0.001,0.003,0.001,0.004,0.02,99.741
,5,558113,03.09.2024,,W000,26.373,,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,6,558117,03.09.2024,,W000,37.786,,0.06,0.2,0.001,0.001,0.001,0.004,0.02,99.713
,7,558121,03.09.2024,,W000,6.021,,0.07,0.19,0.004,0.014,0.001,0.004,0.02,99.697
,8,558125,04.09.2024,,W000,43.577,,0.06,0.16,0.001,0.002,0.001,0.003,0.02,99.753
,9,558129,04.09.2024,,W000,8.022,,0.06,0.15,0.002,0.004,0.001,0.004,0.02,99.759
,10,558133,05.09.2024,,W000,32.106,,0.06,0.16,0.001,0.003,0.001,0.003,0.02,99.752
,11,558137,05.09.2024,,W000,10.04,,0.06,0.22,0.001,0.002,0.001,0.004,0.02,99.692
,12,558141,06.09.2024,,W000,29.942,,0.07,0.19,0.002,0.008,0.001,0.004,0.02,99.705
,13,558145,06.09.2024,,W000,29.207,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,14,558149,07.09.2024,,W000,20.23,,0.06,0.35,0.001,0.002,0.001,0.005,0.02,99.561
,15,558153,07.09.2024,,W000,19.844,,0.06,0.21,0.002,0.002,0.001,0.004,0.02,99.701
,16,558157,08.09.2024,,W000,32.644,,0.07,0.2,0.001,0.003,0.001,0.004,0.02,99.701
,17,558161,08.09.2024,,W000,18.193,,0.06,0.23,0.001,0.002,0.001,0.004,0.02,99.682
,18,558165,09.09.2024,,W000,32.218,,0.06,0.21,0.001,0.002,0.001,0.004,0.02,99.702
,19,558169,09.09.2024,,W000,32.314,,0.07,0.25,0.002,0.004,0.001,0.004,0.02,99.649
,20,558173,11.09.2024,,W000,36.81,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,21,558177,10.09.2024,,W000,24.062,,0.07,0.22,0.001,0.002,0.001,0.004,0.02,99.682
,22,558181,11.09.2024,,W000,32.629,,0.07,0.19,0.003,0.01,0.001,0.004,0.02,99.702
,23,558185,11.09.2024,,W000,32.361,,0.08,0.18,0.003,0.009,0.001,0.004,0.02,99.703
,24,558189,12.09.2024,,W000,26.129,,0.07,0.17,0.002,0.01,0.001,0.004,0.02,99.723
,25,558193,12.09.2024,,W000,4.097,,0.06,0.19,0.004,0.016,0.001,0.004,0.02,99.705
,26,558195,13.09.2024,,W000,32.833,,0.07,0.2,0.002,0.01,0.001,0.004,0.02,99.693
,27,558199,13.09.2024,,W000,38.805,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,28,558203,14.09.2024,,W000,32.754,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,29,558205,15.09.2024,,W000,30.476,,0.07,0.18,0.001,0.003,0.001,0.004,0.02,99.721
,30,558209,15.09.2024,,W000,30.498,,0.07,0.19,0.001,0.003,0.001,0.004,0.02,99.711
,31,558213,15.09.2024,,W000,22.508,,0.06,0.19,0.001,0.002,0.001,0.004,0.02,99.722
,32,558217,16.09.2024,,W000,34.468,,0.08,0.18,0.001,0.002,0.001,0.004,0.02,99.712
,33,558221,16.09.2024,,W000,32.635,,0.07,0.17,0.001,0.001,0.001,0.004,0.02,99.733
,34,558225,17.09.2024,,W000,24.529,,0.08,0.23,0.001,0.002,0.001,0.005,0.02,99.661
,35,558229,17.09.2024,,W000,36.389,,0.08,0.2,0.002,0.005,0.001,0.004,0.02,99.688
,36,558233,17.09.2024,,W000,4.121,,0.08,0.19,0.001,0.004,0.001,0.004,0.02,99.7
,37,558237,18.09.2024,,W000,29.516,,0.08,0.19,0.001,0.003,0.001,0.004,0.02,99.701
