,Date,,Batch No,Diameter,Material,Coil,UTS,Elongation,Conductivity,Grade,Material,Total order quantity,
,01.09.2024,,558097,10,W000000,1,10.3,15.1,61.4,WE20,WE200095,"2,074.00",
,01.09.2024,,558097,10,W000000,10,10.2,17.3,61.4,WE20,WE200095,"2,032.00",
,01.09.2024,,558097,10,W000000,11,9.9,19.4,61.4,WE20,WE200095,"2,066.00",
,01.09.2024,,558097,10,W000000,12,9.9,15.1,61.4,WE20,WE200095,"2,028.00",
,01.09.2024,,558097,10,W000000,13,9.7,23.4,61.3,WE20,WE200095,"2,063.00",
,01.09.2024,,558097,10,W000000,14,9.7,20.4,61.3,WE20,WE200095,"2,020.00",
,01.09.2024,,558097,10,W000000,15,9.7,19.7,61.3,WE20,WE200095,"2,057.00",
,01.09.2024,,558097,10,W000000,16,9.6,21.3,61.3,WE20,WE200095,"2,024.00",
,01.09.2024,,558097,10,W000000,17,9.9,20.2,61.3,WE20,WE200095,"2,059.00",
,01.09.2024,,558097,10,W000000,18,9.9,19.4,61.3,WE20,WE200095,"2,166.00",
,01.09.2024,,558097,10,W000000,19,9.9,18.4,61.2,WE20,WE200095,"2,067.00",
,01.09.2024,,558097,10,W000000,2,10.2,16.7,61.4,WE20,WE200095,"2,030.00",
,01.09.2024,,558097,10,W000000,20,9.9,17.9,61.2,WE20,WE200095,"2,029.00",
,01.09.2024,,558097,10,W000000,3,9.4,20.7,61.4,WE20,WE200095,"2,067.00",
,01.09.2024,,558097,10,W000000,4,10.1,18,61.4,WE20,WE200095,"2,034.00",
,01.09.2024,,558097,10,W000000,5,9.9,18.8,61.4,WE20,WE200095,"2,070.00",
,01.09.2024,,558097,10,W000000,6,10.1,14.3,61.4,WE20,WE200095,"2,024.00",
,01.09.2024,,558097,10,W000000,7,9.5,13.1,61.1,WE20,WE200095,"2,059.00",
,01.09.2024,,558097,10,W000000,8,10.1,21,61.1,WE20,WE200095,"2,023.00",
,01.09.2024,,558097,10,W000000,9,10.1,19.1,61.4,WE20,WE200095,"2,064.00",
,01.09.2024,,558101,10,W000000,1,10.1,14.8,61.8,WE10,WE100095,"2,013.00",
,01.09.2024,,558101,10,W000000,10,9.8,16.8,61.8,WE10,WE100095,"2,020.00",
,01.09.2024,,558101,10,W000000,11,9.8,14.8,61.8,WE10,WE100095,"1,974.00",
,01.09.2024,,558101,10,W000000,12,9.5,20,61.8,WE10,WE100095,"2,017.00",
,01.09.2024,,558101,10,W000000,13,10.1,14,61.8,WE10,WE100095,"1,976.00",
,01.09.2024,,558101,10,W000000,14,10,14,61.8,WE10,WE100095,"2,017.00",
,01.09.2024,,558101,10,W000000,15,10.4,16.6,61.8,WE10,WE100095,"2,107.00",
,01.09.2024,,558101,10,W000000,16,10.1,18.6,61.8,WE10,WE100095,"2,016.00",
,01.09.2024,,558101,10,W000000,17,9.9,16.8,61.9,WE10,WE100095,"2,103.00",
,01.09.2024,,558101,10,W000000,18,9.2,21.2,61.9,WE10,WE100095,"2,016.00",
,01.09.2024,,558101,10,W000000,2,9.9,14,61.8,WE10,WE100095,"1,970.00",
,01.09.2024,,558101,10,W000000,3,10,14,61.8,WE10,WE100095,"1,972.00",
,01.09.2024,,558101,10,W000000,4,9.9,14,61.8,WE10,WE100095,"2,018.00",
,01.09.2024,,558101,10,W000000,5,9.9,14,61.8,WE10,WE100095,"1,974.00",
,01.09.2024,,558101,10,W000000,6,10.1,14.8,61.8,WE10,WE100095,"2,016.00",
,01.09.2024,,558101,10,W000000,7,10,6,61.8,WE10,WE100095,"2,109.00",
,01.09.2024,,558101,10,W000000,8,10.2,18,61.8,WE10,WE100095,"2,017.00",
,01.09.2024,,558101,10,W000000,9,9.9,16,61.8,WE10,WE100095,"2,112.00",
,01.09.2024,,658095,10,W000000,10,9.7,14.6,62,WE10,WE100095,"2,037.00",
,01.09.2024,,658095,10,W000000,11,9.4,16.3,62,WE10,WE100095,"2,036.00",
,01.09.2024,,658095,10,W000000,4,10,14.2,62,WE10,WE100095,"2,086.00",
,01.09.2024,,658095,10,W000000,5,10,15.3,62,WE10,WE100095,"2,033.00",
,01.09.2024,,658095,10,W000000,6,12,9.6,62,WE10,WE100095,"2,031.00",
,01.09.2024,,658095,10,W000000,7,11.8,7.5,62,WE10,WE100095,"2,068.00",
,01.09.2024,,658095,10,W000000,8,9.9,14,62,WE10,WE100095,"2,083.00",
,01.09.2024,,658095,10,W000000,9,9.8,16.5,62,WE10,WE100095,"2,076.00",
,01.09.2024,,658099,10,W000000,1,9.6,17.9,62,WE10,WE100095,"1,990.00",
,01.09.2024,,658099,10,W000000,10,9.7,18.8,62,WE10,WE100095,"1,970.00",
,01.09.2024,,658099,10,W000000,11,9.6,16,62,WE10,WE100095,"2,012.00",
,01.09.2024,,658099,10,W000000,12,9.4,18,62,WE10,WE100095,"2,107.00",
,01.09.2024,,658099,10,W000000,13,9.6,20,61.9,WE10,WE100095,"2,006.00",
,01.09.2024,,658099,10,W000000,14,9.5,20,61.9,WE10,WE100095,"1,833.00",
,01.09.2024,,658099,10,W000000,15,9.4,18,61.9,WE10,WE100095,"2,016.00",
,01.09.2024,,658099,10,W000000,16,10.1,14.8,61.9,WE10,WE100095,"2,116.00",
,01.09.2024,,658099,10,W000000,17,10.1,14,61.9,WE10,WE100095,"2,017.00",
,01.09.2024,,658099,10,W000000,18,9.8,16.4,61.9,WE10,WE100095,"2,127.00",
,01.09.2024,,658099,10,W000000,2,9.3,21,62,WE10,WE100095,"2,107.00",
,01.09.2024,,658099,10,W000000,3,9.7,19.6,62,WE10,WE100095,"2,007.00",
,01.09.2024,,658099,10,W000000,4,9.7,17.6,62,WE10,WE100095,"2,107.00",
,01.09.2024,,658099,10,W000000,5,9.6,16.2,61.9,WE10,WE100095,"2,010.00",
,01.09.2024,,658099,10,W000000,6,9.8,16.2,61.9,WE10,WE100095,"2,108.00",
